num_emp,nombre,apellidos,nacimiento,mail,salario
1,Juan,López,26/03/1990,acackett1a@imageshack.us,39269.73
2,Pedro,Hernández,03/01/2004,glattey1@howstuffworks.com,31838.93
3,Ana,Sánchez,06/06/1993,mlambourne2@discovery.com,39269.73
4,Laura,Sánchez,06/03/2003,adimatteo3@goodreads.com,9913.6
5,Juan,Rodríguez,13/12/1992,nsurtees4@wordpress.org,19773.64
6,Laura,López,25/08/2002,rbenedetti5@earthlink.net,17125.59
7,Alejandro,González,22/12/1993,dgumbrell6@ucoz.ru,21273.05
8,Diego,Torres,07/01/1992,tlamswood7@google.fr,39269.73
9,Sofía,Ramírez,06/10/2004,bmiddup8@privacy.gov.au,28851.89
10,Carlos,Rodríguez,11/11/1999,ncrewther9@unblog.fr,23520.49
11,Ana,Sánchez,14/10/2002,trisbrougha@ezinearticles.com,7788.52
12,María,Martínez,16/10/1999,eheadonb@woothemes.com,16038.58
13,Laura,López,22/03/1994,spinnigarc@arizona.edu,36427.14
14,Sofía,Ramírez,06/01/2001,htrobeyd@cbsnews.com,19647.4
15,Ana,García,07/02/2005,mmccluree@indiegogo.com,25124.59
16,Elena,Ramírez,10/11/1993,choysf@gravatar.com,19773.64
17,Sofía,Rodríguez,05/04/2000,sgostallg@miitbeian.gov.cn,13673.64
18,Carlos,Rodríguez,05/11/1999,ecutressh@answers.com,26252.14
19,Diego,Torres,19/12/1999,elummi@naver.com,27789.01
20,Ana,López,04/02/1990,sharnettyj@hud.gov,26424.77
21,Alejandro,Ramírez,08/08/1991,cmuehlek@purevolume.com,21874.42
22,Laura,Martínez,06/09/2001,efellisl@pen.io,28812.75
23,Elena,Hernández,07/04/2003,strembeym@theatlantic.com,31752.27
24,Juan,López,29/03/1990,ftilzeyn@clickbank.net,19773.64
25,Laura,García,10/06/1990,awroughto@amazon.de,29045.12
26,Alejandro,Ramírez,28/01/1990,bgaymerp@desdev.cn,30065.22
27,Laura,Sánchez,26/08/1998,slandrethq@blogger.com,9556.95
28,Alejandro,Martínez,14/05/2005,rbuckinghamr@dell.com,11453.68
29,Juan,Ramírez,28/12/1995,rodreains@ezinearticles.com,29474.58
